,ID,Members,cables,frequency,from,name,operator,operator:wikidata,route,to,type,via,voltage,wires,operator:wikipedia,ref,network,fixme,colour,note,planned
155,6466130,"['435983753', '435983751', '399937380', '87637074', '68993105', '68834307', '437164457', '399937381', '35702899']",3,50, , ,Schleswig-Holstein Netz AG, ,power, ,route, ,110000,single, ,137 grün, , ,green, , 
156,6466234,"['435996542', '435996558', '59145566', '77160914', '638787149', '38487390', '119522839', '511296577', '307452694']",3,50, , ,Schleswig-Holstein Netz AG,Q2239261,power, ,route, ,110000,single,de:Schleswig-Holstein Netz,126 grün, , ,green, , 
157,6466235,"['87861865', '36921015', '119262041', '435996574', '503915343', '436011793', '435996542', '208672835']",3,50, , ,Schleswig-Holstein Netz AG, ,power, ,route, ,110000,single, ,126 rot, , ,red, , 
158,6466236,"['435996591', '638787150', '435996558', '59145566', '87861865', '119262066', '36921015']",3,50, , ,Schleswig-Holstein Netz AG, ,power, ,route, ,110000,single, ,126 blau, , ,blue, , 
159,6466237,"['38487390', '307452694', '511296578', '435996588', '435996574', '436011795', '208672835']",3,50, , ,Schleswig-Holstein Netz AG,Q2239261,power, ,route, ,110000,single,de:Schleswig-Holstein Netz,126 blau, , ,blue, , 
160,6467309,"['130857662', '130857661', '208672835', '427423004', '947787375']",3,50, , ,Schleswig-Holstein Netz AG, ,power, ,route, ,110000,single, ,152 gelb, , ,yellow, , 
161,6771820,"['136034396', '165297731', '192797014', '148197444', '882960351', '525964629']",3,50,KS Büttel,KS Büttel - UW Wilster,TenneT TSO GmbH, ,power,UW Wilster,route, ,380000, , , ,UCTE,ref und Name müssen noch nachgetragen werden, , , 
162,6771821,"['136034396', '165297731', '192797014', '148197444', '882960352', '525964629']",3,50,KS Büttel,KS Büttel - UW Wilster II,TenneT TSO GmbH, ,power,UW Wilster,route, ,380000, , , ,UCTE,name und ref müssen nachgetragen werden, , , 
163,6914261,"['285977051', '223535387']", , , ,HELWin 2,TenneT TSO GmbH,Q1662830,power, ,route, , , , , , , , , , 
164,6914262,"['340264133', '223535387']", , , ,HelWin 1,TenneT TSO GmbH,Q1662830,power, ,route, , , , , , , , , , 
165,7687577,"['22720647', '358953277', '536200637', '536200638', '358953278', '311960320', '311960319', '28008024']",3, ,Hamburg Nord (50Hertz Transmission), ,TenneT TSO, ,power,Hamburg Nord (TenneT TSO),route, , , , ,203 weiß, , , , , 
